city_id,city_name,state,country,lat,lon,population,tier
1,Mumbai,Maharashtra,India,20.67,72.85,12478447,Tier-1
2,Pune,Maharashtra,India,18.52,73.85,3124458,Tier-1
3,Bengaluru,Karnataka,India,12.97,77.59,8443675,Tier-1
4,Hyderabad,Telangana,India,17.38,78.48,6993262,Tier-1
5,Chennai,Tamil Nadu,India,13.08,80.27,7088000,Tier-1
6,Ahmedabad,Gujarat,India,23.02,72.57,5577940,Tier-2
7,Surat,Gujarat,India,21.17,72.83,4467797,Tier-2
8,Jaipur,Rajasthan,India,26.91,75.78,3046163,Tier-2
9,Lucknow,Uttar Pradesh,India,26.84,80.94,2817105,Tier-2
10,Indore,Madhya Pradesh,India,22.71,75.85,1994397,Tier-2
